Model,Label
CorvetteConvertible,666
Corvette427,665
Suburban4dr,2312
TrailBlazer4dr,2436
Spark2LT,2274
ColoradoExtended,609
TraverseLTZ,2444
Suburban3/4,2309
S-102WD,2040
Monte,1606
Blazer4dr,320
VoltPremier,2567
S-104WD,2041
HHR4dr,1214
Colorado2WD,606
Camaro2SS,468
SuburbanLS,2314
Blazer2dr,319
Tahoe,2365
TraverseLS,2442
TrailBlazer4WD,2435
MalibuPremier,1545
Prizm4dr,1812
HHR2WD,1213
Astro,255
TrailBlazer2WD,2434
ImpalaLTZ,1275
VoltLT,2565
Impala2LTZ,1265
Impala1LTZ,1261
Uplander4dr,2489
Spark1LT,2273
VentureExt,2525
Volt5dr,2563
Impala1LT,1260
Chevy,572
Cavalier2dr,508
SparkLS,2276
Spark4DR,2275
Tracker4dr,2433
Captiva,493
Tahoe2dr,2367
ColoradoRegular,611
ImpalaPolice,1278
Suburban1500,2306
Cobalt4dr,604
Avalanche2500,260
TahoeCommercial,2370
Suburban2500,2307
SuburbanFleet,2313
Impala,1258
Equinox2WD,842
Venture4dr,2524
TahoePolice,2375
City,574
Equinox4dr,844
SonicLT,2245
Bolt,322
Aveo5dr,283
MalibuHybrid,1539
Lumina4dr,1413
Malibu2LT,1527
TahoeSpecial,2376
ImpalaFirst,1270
CruzeDiesel,690
TahoeHeated,2371
CruzeHatchback,692
VentureReg,2526
Malibu1LZ,1526
Malibu1LTZ,1525
CruzePremier,699
CruzeECO,691
Malibu3LT,1530
AveoLT,284
Malibu2LZ,1529
MalibuSedan,1547
CruzeL,693
CamaroLT,473
Camaro1LS,465
Cruze4d,688
MalibuL,1540
ImpalaUnmarked,1282
Impala4d,1268
ImpalaImpala,1271
Impala1LS,1259
ImpalaLT2,1274
MalibuFleet,1537
ImpalaLimited,1276
ImpalaSEDAN,1280
Equinox,841
CobaltSS,605
EquinoxLT,848
Equinox4d,843
Spark,2272
Trax,2445
MalibuLTZ,1543
Malibu4d,1532
Malibu1FL,1522
MalibuSEDAN,1546
MalibuClassic,1535
MalibuBase,1534
Malibu4DR,1531
Escalade,853
Escalade2WD,854
XT5Standard,2725
XTSTurbo,2734
EscaladePremium,861
CT6,426
EscaladeLuxury,859
EscaladePlatinum,860
ATS,195
Escalade4WD,855
SRXPerformance,2149
XTSLuxury,2731
XTSPremium,2733
CTS-V4dr,430
EscaladeRWD,862
SRXStandard,2152
XLR-V2dr,2718
XT5Premium,2724
XTSBase,2729
XTSPlatinum,2732
XT5Platinum,2723
CTS-VCTS-V,431
SRX4dr,2143
SRXAWD,2144
DeVille4dr,720
STS4dr,2157
SRXBase,2145
CTS4dr,433
DTS4dr,703
XTSVsport,2735
XLR2dr,2720
ATS-V,196
STS-VSTS-V,2156
EscaladeBase,858
Seville4dr,2206
ELRCoupe,754
SRXRWD,2151
DeVille,718
Eldorado2dr,794
STS-V4dr,2155
XTS3.6L,2727
SRXLeather,2147
Concours4dr,634
LeSabre4dr,1390
Catera4dr,507
Regal4dr,1972
RegalPremium,1979
LaCrosseAWD,1370
EnclaveConvenience,805
Park,1741
RegalBase,1974
RegalGS,1978
CascadaSport,506
RegalSport,1982
CenturyCUSTOM,525
EnvisionAWD,825
EnvisionPremium,827
LaCrossePremium,1375
EnclaveBase,804
RainierAWD,1957
LeSabreLimited,1391
CascadaPremium,505
Rainier4dr,1956
VeranoPremium,2544
RainierRWD,1958
Verano1SD,2536
RendezvousCX,1987
VeranoVerano,2547
LaCrosseCXL,1371
RegalFleet,1977
VeranoLeather,2543
LaCrosseLeather,1374
M34dr,1427
Skylark4dr,2227
M3Coupe,1441
X5sDrive35i,2630
X6AWD,2635
M5Sedan,1453
Z4sDrive28i,2773
Z4Roadster,2771
Z4sDrive35i,2774
Verano1SV,2537
RendezvousCXL,1988
M3Convertible,1440
1,0
Z3Z3,2768
X6xDrive50i,2638
X3xDrive35i,2624
X3xDrive28d,2622
Z4Z4,2772
i394,2806
VeranoTurbo,2546
X6,2634
Z4sDrive35is,2775
M3M3,1442
Z42dr,2769
X6sDrive35i,2636
M4Coupe,1446
M54dr,1447
Z3Roadster,2767
X1Sports,2615
M6Convertible,1455
M62dr,1454
X4xDrive35i,2626
Z3Coupe,2766
8,132
X1AWD,2614
Z4Coupe,2770
X535i,2628
A73.0T,187
SQ5quattro,2141
A74dr,189
RS,1940
A4Prestige,175
A5,178
S4quattro,2077
S5Coupe,2081
A84dr,194
S5Cabriolet,2080
Q53.0,1840
RS42dr,1941
Q73.0TDI,1859
Q72.0T,1857
A83.0T,191
Q53.0T,1841
Continental,635
Continental2dr,636
Arnage4dr,245
Q53.0TDI,1842
S52dr,2079
allroad5dr,2781
TTCoupe,2345
Q3FrontTrak,1820
RS44dr,1942
S3quattro,2063
A34dr,160
TT2dr,2343
TTS2dr,2347
TT,2341
TTSS,2350
S7quattro,2101
TTRoadster,2346
S5,2078
allroadPremium,2782
SQ5Premium,2140
S42007,2071
S3Prestige,2062
A73.0TDI,188
A52dr,180
TTSCoupe,2348
A63.0TDI,184
S84dr,2112
A4ultra,177
S64dr,2095
A32.0T,159
TTSRoadster,2349
RS64dr,1943
A6CERTIFIED,186
TT180hp,2342
A42007.5,169
A42dr,170
S45dr,2075
A45dr,172
S42005.5,2070
A42005,166
A42005.5,167
S42007.5,2072
A42004,164
A4AWD,173
A42004.5,165
RL4dr,1934
RLXHybrid,1938
Romeo,2031
General,1178
Martin,1554
RSXAutomatic,1944
RDX4WD,1929
RSXType-S,1946
RLXAutomatic,1936
RLAutomatic,1935
RDXBase,1931
CLManual,397
CLAutomatic,390
ILXTechnology,1255
ILXPremium,1254
TLType-S,2329
TLwith,2332
TSX,2333
ZDXAWD,2776
RSXManual,1945
RLXBase,1937
CLType-S,405
IntegraGS,1308
ILX6-Speed,1250
IntegraLS,1309
TSXManual,2337
TLSpecial,2328
TLManual,2326
RDX*1-OWNER*LTHR*ROOF*BACK-UP*TECH,1928
ILX4dr,1248
ILXHybrid,1253
ILXAcuraWatch,1251
TSXV6,2340
ZDXBase,2777
Q5Premium,1844
A84.2L,193
Q53.2L,1843
S4Quattro,2076
A62016,182
MDXAdvance,1468
MDXACURA,1466
SLX4WD,2139
TSXPremium,2338
CR-VLX,413
Liberty4WD,1405
PatriotLimited,1781
PatriotHigh,1779
CherokeeLimited,567
PatriotLatitude,1780
Liberty2WD,1404
CherokeeLatitude,566
Cherokee4WD,558
Patriot4WD,1775
CherokeeTrailhawk,571
Liberty4dr,1406
RenegadeTrailhawk,1998
RenegadeLimited,1996
RenegadeLatitude,1995
RenegadeJustice,1994
PatriotSport,1785
Cherokee2dr,557
LibertyRWD,1409
Commander2WD,612
PatriotFWD,1778
Commander4WD,613
RenegadeSport,1997
LibertySport,1411
Compass2017.5,619
Cherokee4dr,559
CherokeeL,565
Commander4dr,614
Patriot2WD,1774
CherokeeFWD,563
Patriot75th,1776
Compass4WD,621
CommanderRWD,617
CompassSport,630
CherokeeSport,570
RenegadeDeserthawk,1993
CompassLatitude,628
CompassFWD,626
PatriotAltitude,1777
CompassHigh,627
CherokeeOverland,568
WranglerSport,2609
CherokeeAltitude,561
Wrangler2dr,2587
Wrangler4WD,2588
Wrangler2WD,2586
CompassLimited,629
WranglerWillys,2611
Compass75th,623
WranglerRWD,2604
WranglerFreedom,2598
WranglerRubicon,2605
WranglerSahara,2608
Cherokee75th,560
Compass2WD,620
Wrangler,2585
Wrangler75th,2590
WranglerBig,2594
WranglerX,2612
WranglerPolar,2603
